iter	Passed	Remaining
679	14043	6608
680	14061	6586
681	14081	6565
682	14101	6544
683	14121	6523
684	14140	6502
685	14158	6480
686	14178	6459
687	14198	6438
688	14217	6417
689	14237	6396
690	14256	6375
691	14276	6354
692	14295	6333
693	14315	6312
694	14336	6291
695	14358	6271
696	14380	6251
697	14405	6232
698	14428	6213
699	14452	6193
700	14475	6174
701	14496	6153
702	14516	6132
703	14535	6111
704	14555	6090
705	14575	6069
706	14594	6048
707	14616	6028
708	14638	6008
709	14658	5987
710	14677	5966
711	14699	5945
712	14719	5924
713	14738	5903
714	14757	5882
715	14777	5861
716	14798	5840
717	14819	5820
718	14839	5799
719	14860	5778
720	14881	5758
721	14900	5737
722	14921	5716
723	14945	5697
724	14984	5683
725	15020	5669
726	15068	5658
727	15091	5638
728	15110	5617
729	15130	5596
730	15149	5574
731	15168	5553
732	15188	5532
733	15208	5511
734	15228	5490
735	15247	5469
736	15266	5447
737	15286	5426
738	15305	5405
739	15325	5384
740	15345	5363
741	15364	5342
742	15383	5321
743	15404	5300
744	15424	5279
745	15444	5258
746	15464	5237
747	15483	5216
748	15503	5195
749	15523	5174
750	15543	5153
751	15562	5132
752	15583	5111
753	15602	5090
754	15622	5069
755	15642	5048
756	15661	5027
757	15680	5006
758	15700	4985
759	15720	4964
760	15739	4943
761	15758	4922
762	15779	4901
763	15799	4880
764	15818	4859
765	15839	4838
766	15858	4817
767	15878	4796
768	15897	4775
769	15917	4754
770	15937	4733
771	15955	4712
772	15975	4691
773	15994	4670
774	16014	4649
775	16044	4631
776	16073	4613
777	16093	4592
778	16112	4570
779	16131	4549
780	16149	4528
781	16168	4507
782	16187	4486
783	16206	4465
784	16226	4444
785	16245	4423
786	16264	4402
787	16284	4381
788	16303	4359
789	16323	4339
790	16342	4318
791	16362	4297
792	16387	4277
793	16408	4256
794	16427	4236
795	16446	4215
796	16466	4194
797	16486	4173
798	16506	4152
799	16526	4131
800	16544	4110
801	16564	4089
802	16583	4068
803	16603	4047
804	16624	4026
805	16642	4005
806	16661	3984
807	16680	3963
808	16701	3943
809	16720	3922
810	16739	3901
811	16758	3880
812	16778	3859
813	16799	3838
814	16822	3818
815	16844	3798
816	16864	3777
817	16884	3756
818	16903	3735
819	16923	3715
820	16942	3693
821	16962	3673
822	16982	3652
823	17001	3631
824	17022	3610
825	17041	3589
826	17060	3568
827	17079	3547
828	17099	3527
829	17118	3506
830	17140	3485
831	17162	3465
832	17183	3444
833	17203	3424
834	17222	3403
835	17241	3382
836	17261	3361
837	17281	3340
838	17300	3319
839	17321	3299
840	17340	3278
841	17359	3257
842	17380	3237
843	17400	3216
844	17420	3195
845	17438	3174
846	17460	3153
847	17482	3133
848	17505	3113
849	17528	3093
850	17551	3073
851	17574	3052
852	17597	3032
853	17620	3012
854	17642	2992
855	17664	2971
856	17688	2951
857	17731	2934
858	17777	2918
859	17823	2901
860	17859	2883
861	17905	2866
862	17938	2847
863	17956	2826
864	17975	2805
865	17994	2784
866	18013	2763
867	18032	2742
868	18050	2721
869	18070	2700
870	18089	2679
871	18108	2658
872	18127	2637
873	18146	2616
874	18165	2595
875	18183	2573
876	18201	2552
877	18220	2531
878	18238	2510
879	18257	2489
880	18275	2468
881	18293	2447
882	18311	2426
883	18331	2405
884	18349	2384
885	18368	2363
886	18388	2342
887	18407	2321
888	18426	2300
889	18454	2280
890	18474	2260
891	18493	2239
892	18512	2218
893	18530	2197
894	18549	2176
895	18568	2155
896	18587	2134
897	18606	2113
898	18625	2092
899	18644	2071
900	18663	2050
901	18685	2030
902	18720	2010
903	18767	1993
904	18815	1975
905	18857	1956
906	18875	1935
907	18895	1914
908	18915	1893
909	18962	1875
910	19007	1856
911	19050	1838
912	19096	1819
913	19140	1801
914	19189	1782
915	19212	1761
916	19230	1740
917	19249	1719
918	19268	1698
919	19286	1677
920	19305	1655
921	19324	1634
922	19342	1613
923	19361	1592
924	19381	1571
925	19400	1550
926	19420	1529
927	19439	1508
928	19458	1487
929	19477	1466
930	19496	1444
931	19515	1423
932	19533	1402
933	19552	1381
934	19572	1360
935	19592	1339
936	19611	1318
937	19630	1297
938	19649	1276
939	19668	1255
940	19686	1234
941	19705	1213
942	19724	1192
943	19743	1171
944	19762	1150
945	19781	1129
946	19800	1108
947	19820	1087
948	19841	1066
949	19888	1046
950	19932	1027
951	19972	1006
952	19992	985
953	20013	964
954	20033	943
955	20053	922
956	20073	901
957	20092	880
958	20113	859
959	20133	838
960	20152	817
961	20172	796
962	20192	775
963	20212	754
