iter	RMSE
948	92.70128693
949	92.37874049
950	92.31434828
951	92.19961484
952	92.08707399
953	91.9098893
954	91.75609291
955	91.68958096
956	91.51974633
957	91.29578534
958	91.19156104
959	90.82438357
960	90.74026098
961	90.59007197
962	90.42456525
963	90.13498882
964	90.00410427
965	89.88792427
966	89.74150976
967	89.44886502
968	89.35603594
969	89.14049238
970	88.85752444
971	88.66535238
972	88.50040768
973	88.35136018
974	88.22046228
975	88.03780815
976	87.81893272
977	87.66396076
978	87.21699099
979	87.09517222
980	86.85908999
981	86.74992954
982	86.53813251
983	86.19324056
984	86.04185187
985	85.77568884
986	85.64926627
987	85.54872255
988	85.25943055
989	84.98416369
990	84.85234562
991	84.53593923
992	84.42324634
993	84.0565443
994	83.843557
995	83.71446392
996	83.48488453
997	83.32870023
998	83.07839518
999	82.91544626
1000	82.81692021
1001	82.68366733
1002	82.56446281
1003	82.34769945
